Angle,Distance,Outer Left,Left,Centre,Right,Outer Right,Bump Left,Bump Right
0,10,21312,3368,2960,3316,20552,1044,760
0,10,21304,3368,2964,3316,20608,1044,752
0,10,21352,3364,2960,3312,20600,1044,752
0,10,21308,3372,2964,3320,20600,1044,760
0,10,21308,3364,2964,3312,20548,1044,760
0,10,21256,3368,2960,3316,20552,1048,756
0,10,21256,3364,2964,3312,20548,1044,756
0,10,21248,3364,2964,3312,20600,1048,756
0,10,21248,3364,2956,3312,20552,1044,752
0,10,21308,3360,2960,3360,20496,1044,748
0,10,21248,3416,2964,3316,20548,1048,756
0,10,21304,3368,2956,3260,20552,1092,752
0,10,21300,3364,2956,3308,20548,1092,748
0,10,21304,3372,2964,3312,20504,1044,756
0,10,21308,3364,2964,3312,20496,1048,756
0,10,21360,3372,2956,3316,20548,1044,756
0,10,21256,3372,2964,3268,20504,1044,752
0,10,21300,3364,2960,3260,20548,1044,748
0,10,21248,3364,2956,3312,20496,1044,752
0,10,21264,3324,2912,3272,20504,1044,756
0,10,21348,3364,2960,3312,20920,1048,756
0,10,21308,3364,2960,3312,20496,1044,752
0,10,21672,3364,2956,3312,20920,1048,748
0,10,21304,3364,2964,3312,20504,1044,756
0,10,21308,3364,2964,3312,20496,1044,760
0,10,21300,3364,2960,3312,20496,1044,752
0,10,21308,3364,3012,3260,20496,1044,752
0,10,21308,3364,2964,3312,20500,1044,760
0,10,21264,3372,2964,3268,20504,1048,760
0,10,21308,3372,2964,3268,20504,1048,752
0,11,29664,5684,5232,5896,31228,1792,1452
0,11,29716,5684,5228,6048,31276,1788,1452
0,11,29712,5728,5228,5880,31384,1784,1452
0,11,29716,5732,5236,5892,31280,1796,1456
0,11,29668,5736,5232,5896,31224,1796,1452
0,11,29664,5728,5232,5896,31280,1792,1452
0,11,29720,5736,5232,5888,31332,1792,1456
0,11,29720,5692,5236,5896,31448,1796,1464
0,11,29768,5732,5232,5892,31440,1792,1456
0,11,29772,5740,5236,5896,31396,1796,1456
0,11,29708,5832,5232,5936,31432,1784,1548
0,11,29720,5740,5228,5892,31392,1796,1456
0,11,29768,5732,5236,5892,31388,1796,1456
0,11,29720,5692,5232,5896,31396,1796,1464
0,11,29720,5740,5228,5892,31388,1796,1452
0,11,29664,5732,5236,5892,31388,1796,1456
0,11,29724,5692,5232,5896,31504,1800,1460
0,11,29716,5736,5236,6048,31440,1792,1460
0,11,29768,5732,5236,5892,31392,1796,1456
0,11,29720,5740,5236,5896,31396,1796,1464
0,11,29716,5732,5232,5896,31552,1792,1452
0,11,29816,5736,5232,5896,31492,1792,1456
0,11,29716,5732,5228,5892,31384,1796,1452
0,11,29764,5728,5228,5884,31116,1784,1452
0,11,29720,5736,5232,5888,31064,1792,1452
0,11,29720,5692,5232,5896,31172,1796,1452
0,11,29764,5832,5228,5892,31172,1788,1452
0,11,29776,5696,5188,5900,31132,1800,1464
0,11,29772,5740,5232,5896,31228,1796,1460
0,11,29712,5740,5232,5896,31176,1796,1460
0,12,41188,9516,8968,9988,43784,2784,2344
0,12,41192,9520,9016,10036,43832,2780,2300
0,12,41192,9476,8972,9992,43840,2784,2296
0,12,41180,9512,9012,10032,43772,2772,2432
0,12,41192,9468,8968,9992,43780,2776,2296
0,12,41132,9464,9008,10032,43828,2776,2340
0,12,41196,9480,9020,10040,43780,2784,2304
0,12,41244,9468,8964,9984,43824,2916,2300
0,12,41236,9468,9268,10028,43936,2776,2300
0,12,41240,9468,8968,10040,43780,2780,2340
0,12,41188,9472,9016,10040,43724,2780,2300
0,12,41136,9472,9016,10040,43624,2780,2344
0,12,41188,9472,9020,10040,43728,2784,2300
0,12,41184,9516,9016,10036,43780,2780,2340
0,12,41184,9520,9016,10036,43724,2780,2292
0,12,41292,9516,9020,10040,43668,2776,2296
0,12,41236,9516,9016,10036,43712,2768,2344
0,12,41240,9468,9016,9988,43728,2780,2300
0,12,42028,9520,9008,10028,43860,2772,2300
0,12,41388,9516,9012,10292,43868,2776,2340
0,12,41296,9476,9016,10036,43776,2780,2300
0,12,41292,9520,9016,10036,43776,2780,2344
0,12,41296,9524,9016,10036,43884,2780,2300
0,12,41336,9816,9012,10024,43928,2772,2296
0,12,41300,9464,8968,9988,43888,2776,2292
0,12,41184,9516,9016,10036,43780,2780,2344
0,12,41144,9472,9016,10040,43724,2776,2300
0,12,41184,9512,9016,10036,43884,2772,2340
0,12,41192,9472,8968,10040,43992,2776,2300
0,12,41196,9480,9020,10040,43996,2784,2304
0,13,56484,15440,14940,16216,56704,4228,3560
0,13,56436,15448,14892,16220,56600,4232,3564
0,13,56428,15440,14984,16216,56648,4228,3552
0,13,56436,15444,14936,16268,56648,4228,3560
0,13,56488,15444,14936,16220,56488,4236,3560
0,13,56380,15436,14940,16264,56220,4228,3560
0,13,56336,15396,14884,16212,56216,4236,3560
0,13,56280,15452,14892,16220,56388,4240,3564
0,13,56204,15440,14936,16624,57556,4228,3552
0,13,56124,15448,14892,16224,56124,4236,3520
0,13,56072,15448,14944,16224,55964,4236,3520
0,13,56012,15392,14888,16212,55956,4228,3560
0,13,56164,15392,14940,16624,56056,4228,3560
0,13,56180,15444,14892,16220,56016,4232,3516
0,13,56284,15388,14928,16204,55952,4424,3556
0,13,56176,15440,14940,16216,56012,4228,3512
0,13,56232,15396,14892,16224,56124,4240,3516
0,13,56224,15396,14892,16216,56224,4228,3516
0,13,56072,15448,14892,16224,56128,4236,3520
0,13,56064,15444,14940,16272,56064,4236,3560
0,13,56060,15444,14932,16208,57244,4228,3556
0,13,56120,15444,14936,16220,56232,4236,3560
0,13,56172,15440,14944,16268,56224,4232,3520
0,13,56164,15440,14932,16264,56164,4232,3696
0,13,56220,15440,14940,16216,56220,4228,3556
0,13,56212,15436,15280,16256,56320,4236,3560
0,13,56108,15440,14932,16260,56216,4228,3552
0,13,56004,15444,14932,16264,56064,4228,3556
0,13,56012,15388,14940,16216,56120,4228,3556
0,13,56004,15388,14888,16624,56060,4228,3552
0,14,71932,22100,21836,23588,69344,5736,4728
0,14,70740,22088,21840,23640,69496,5732,4724
0,14,70540,22092,21792,23596,69184,5732,4724
0,14,70432,22044,21796,23596,69084,5736,4728
0,14,70364,22040,21792,23592,69232,5732,4724
0,14,70368,22100,21796,23644,69448,5740,4732
0,14,70208,22044,21840,23592,69348,5736,4728
0,14,70152,22040,21740,23592,69232,5728,4724
0,14,70148,22092,21792,23636,69176,5728,4724
0,14,70100,22052,21792,23592,69400,5736,4728
0,14,70344,22084,21828,23580,69644,5972,4716
0,14,70360,22092,21788,23632,69336,5976,4724
0,14,70460,22648,21840,23580,69380,5732,4724
0,14,70532,22092,21792,23592,69340,5732,4724
0,14,71764,22100,21836,23588,69448,5736,4728
0,14,70640,22092,21844,23592,69396,5732,4728
0,14,70476,22048,21848,23592,69184,5736,4728
0,14,70376,22100,21796,23596,69032,5736,4728
0,14,70532,22048,21784,23588,69188,5732,4724
0,14,70364,22096,21840,23588,69288,5736,4728
0,14,70316,22092,21792,23540,69184,5732,4724
0,14,70156,22048,21796,23592,69240,5736,4728
0,14,70148,22040,21836,23580,69336,5972,4724
0,14,70252,22044,21792,23644,69608,5728,4724
0,14,70252,22040,21840,23588,69448,5728,4720
0,14,70260,22040,21840,23592,69288,5732,4724
0,14,70108,22052,21800,23596,69084,5740,4732
0,14,70104,22044,21792,23536,69240,5732,4724
0,14,70092,22032,21784,23584,69172,6016,4724
0,14,70000,22048,21792,23592,68920,5736,4728
0,15,84268,29492,29092,31096,77372,7332,6036
0,15,84520,29476,29176,31128,77560,7368,6360
0,15,84696,29484,29132,31136,77256,7376,6080
0,15,84700,29536,29128,31080,76884,7376,6080
0,15,84348,29492,29088,31036,76260,7380,6084
0,15,84132,29436,29028,30980,76260,7372,6032
0,15,84372,29492,29088,31140,77472,7332,6032
0,15,84112,29540,29088,31088,76940,7328,6084
0,15,84112,29492,29088,31040,77004,7328,6036
0,15,84256,29436,29040,31964,77088,7332,6040
0,15,84312,29536,29132,31184,77676,7336,6080
0,15,84684,29536,29128,31180,77836,7376,6084
0,15,86036,29532,29184,31136,77672,7332,6080
0,15,84644,29492,29132,31136,77356,7328,6036
0,15,84640,29480,29080,31132,77304,7372,6076
0,15,84688,29536,29180,31128,77520,7328,6080
0,15,84852,29588,29136,31136,77412,7380,6036
0,15,84644,29532,29180,31084,76988,7324,6080
0,15,84496,29488,29084,31032,76788,7328,6036
0,15,86000,29488,29080,31136,76992,7376,6036
0,15,84540,29484,29136,31132,77312,7328,6084
0,15,84424,29484,29128,31132,77148,7376,6036
0,15,84272,29436,29132,31084,77048,7328,6036
0,15,84228,29488,29088,31040,77056,7336,6036
0,15,84488,29488,29040,31092,77160,7332,6036
0,15,84796,29472,29120,31124,77088,7316,6356
0,15,84608,29492,29132,31084,76732,7332,6084
0,15,84928,29484,29136,31088,76732,7332,6036
0,15,85072,29484,29128,31132,77308,7332,6036
0,15,85392,29588,29184,31136,77728,7340,6084
0,16,100608,39432,38028,40412,86428,9540,7668
0,16,100880,38576,38120,40532,86968,9540,7672
0,16,100936,38624,38120,40476,89132,9488,7664
0,16,100956,38608,38208,40672,87376,9528,8084
0,16,100656,38724,38216,40580,86856,9540,7672
0,16,100132,38564,38116,40524,86280,9532,7668
0,16,99920,38572,38068,40532,86340,9540,7668
0,16,100292,38572,38068,40532,86864,9540,7668
0,16,100580,38672,38220,40684,87752,9544,7672
0,16,100836,38820,38324,40780,88280,9544,7672
0,16,100836,38772,38360,40832,88004,9536,7668
0,16,101124,38852,39364,40908,88400,9540,7716
0,16,101300,38868,38364,40828,88796,9592,7720
0,16,101144,38816,38412,40880,88416,9584,7720
0,16,101248,38852,38404,40812,88152,9528,8040
0,16,101036,38812,38408,40872,88208,9532,7712
0,16,101080,38852,38396,40864,88460,9572,8044
0,16,101296,38916,38416,40876,88892,9544,7720
0,16,101508,38916,38404,40876,88724,9580,7708
0,16,101524,38868,38420,40880,88372,9540,7720
0,16,101564,38848,38400,40860,88408,10012,7716
0,16,101520,38916,38412,40824,88476,9592,7720
0,16,101504,38964,38404,40924,88832,9580,7712
0,16,103120,38912,38460,40924,88940,9584,7712
0,16,101452,38916,38412,40872,88840,9580,7720
0,16,101876,38916,38460,40924,89052,9584,7712
0,16,101924,38964,38464,41024,89360,9584,7720
0,16,101948,38948,38544,41012,89712,10012,7712
0,16,102292,38972,38564,41032,89784,9544,7720
0,16,102504,38960,38564,41024,89728,9584,7720
